Index,SMILES,Scores
453,Cc1ccc2nc(COc3cc(Br)ccc3C(=O)NO)cc(=O)n2c1,-18.885676383972168
270,Cc1cc([N+](=O)[O-])ccc1-c1ccc(/C=C/C(=O)NO)o1,-16.707121658325196
600,O=C(Nc1cccc2[nH]ncc12)c1cc2cc(-c3ccncc3)ccc2cc1O,-16.493460750579835
475,Cc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H](C)C(=O)NO)o1,-15.907008171081545
178,C[C@H](Oc1cc(Br)ccc1C(=O)NO)C(=O)c1cccc(Cl)c1,-15.567741680145264
350,N=c1nc2c(C(=O)N3CC[C@H](c4cc(O)n[nH]4)C3)cccn2[nH]1,-15.443991565704346
279,C[C@@H]1CCN(c2ncc3ccc(-c4ccc(F)c(CO)c4)cc3n2)C[C@@H]1O,-15.215733623504638
850,Cc1cc(C(=O)N[C@@H](C)C(=O)NO)n2nc(C(F)(F)F)nc2n1,-15.151988887786866
751,CC/C=C(\\C)C(=O)N1C[C@H]2[C@@H](C1)N2C(=O)c1ccc2nc(O)[nH]c2c1,-15.120487022399905
873,CC(C)(C)OC(=O)N1CC(c2ccccc2C(=O)NO)C1,-15.060870265960691
734,Cc1ccc([C@H]2CCCN2C(=O)Cn2cc(C(=O)NO)nn2)o1,-14.94369659423828
13,CN1C[C@H](C(=O)NO)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,-14.896613883972169
15,CN1C[C@@H](C(=O)NO)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,-14.896613883972169
896,Cc1ccc(C)c(CC(=O)N2Cc3n[nH]cc3[C@H]2CO)c1,-14.895121097564695
583,Cc1ccc2nc(C)c(C(=O)N[C@@H](C)C(=O)NO)cc2c1,-14.822340774536134
948,Cc1ccc2nc(C)c(C(=O)N[C@H](C)C(=O)NO)cc2c1,-14.822340774536134
38,O=C1CC(C(=O)N2CC[C@@]3(C[C@H]3C(=O)N3CCc4n[nH]cc4C3)C2)=CC=N1,-14.80321455001831
301,O=C([C@@H]1C[C@H]1c1cccc(O)c1)N1C[C@@H](CO)C[C@@H](CO)C1,-14.691368865966798
437,Cc1cc(C(=O)Oc2ccc3c(c2)C(=O)c2ccccc2-3)ncc1C#N,-14.620543479919434
24,C[C@H]1[C@@H]2CN(C(=O)Cn3cc(C(=O)NO)nn3)C[C@H]12,-14.593388557434082
351,Cc1ncc(Cc2cccc(C(=O)NO)c2)s1,-14.592664241790771
970,Cc1ccc(CO)cc1-c1cc(C(=O)NCCCCO)c2cc[nH]c2c1,-14.543240451812744
902,Cc1cc2occ(C(=O)N[C@@H](C)C(=O)NO)c2cc1C,-14.540591049194337
729,Cc1cc2occ(C(=O)N[C@H](C)C(=O)NO)c2cc1C,-14.540591049194337
925,CC1(C)Cc2cccc(C(=O)N3CCc4cc(O)nnc4C3)c2C1,-14.50269193649292
627,Cc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@H](NC(=O)c3cccc(CO)c3)C2)nc1O,-14.492610931396484
570,Cc1ccc2cc(C(=O)Oc3cc4oc(=O)cc(C)c4cc3Cl)ccc2c1,-14.458216285705566
628,CC1(C)CC(Oc2cc(Br)ccc2C(=O)NO)C1,-14.44416446685791
944,Cc1cc2cc(C(=O)NC(C)(C)C(=O)NO)oc2cc1C,-14.44402837753296
652,COc1cc2c(cc1O)CCN(C(=O)c1cccc(O)n1)C2,-14.4424241065979
477,O=C(O)c1ccc2cc(OC(=O)c3ccc4ccccc4c3)ccc2c1,-14.42142219543457
915,Cc1cc(C(=O)N2C[C@H](O)[C@H](NC(=O)[C@H]3CC(=O)N(O)C3)C2)c(Cl)cc1Cl,-14.409352684020996
631,O=C(Cn1cc(C(=O)NO)nn1)N[C@@H]1C[C@@H]2CC[C@H](C1)[C@@H]2O,-14.355515098571775
853,O=C(c1cc(CCCO)on1)N1CCN(C(=O)c2cccc(CO)c2)[C@H](CO)C1,-14.31527795791626
611,Cc1ncc(C(=O)NO)n1-c1ccccc1,-14.29287929534912
982,O=C1N[C@H](c2cc(F)cc(F)c2)C(=O)N2Cc3n[nH]cc3C[C@@H]12,-14.273954963684082
415,Cc1noc(-c2ccc(C(=O)Nc3ccccc3C(=O)NO)cc2)n1,-14.259671211242676
975,C[C@@H]1CN(C(=O)Cn2cc(C(=O)NO)nn2)C[C@H]1C(F)(F)F,-14.24490966796875
980,Cc1cc(C(=O)Oc2ccc(-c3ccccc3)cc2)c2n[nH]cc2c1,-14.227695655822751
696,C[C@H]1C[C@H](CO)CN(C(=O)Cn2cc(C(=O)NO)nn2)C1,-14.217812061309814
725,O=C(Cn1cc(C(=O)NO)nn1)N[C@@H]1c2ccccc2C2CC1C2,-14.16921319961548
125,C[C@@H]1CN(C(=O)c2cc(-c3cc(F)c(F)cc3O)cc3[nH]ccc23)C[C@@H]1O,-14.161728286743164
819,Cc1ccncc1-c1ccc2c(C(=O)N3CCC(CO)CC3)cnn2c1,-14.097678089141846
890,CC1(C)CCC(O)(CNC2(c3ccc4ccccc4c3)CC2)CC1,-14.075559902191165
707,CC[C@@H](C)[C@@H](CO)Nc1ccc2c(c1)C(=O)NC2=O,-14.068584442138672
210,CC[C@H](C)[C@@H](CO)Nc1ccc2c(c1)C(=O)NC2=O,-14.068584442138672
647,Cc1cc2c(c(C(=O)N[C@@H](C)C(=O)NO)c1)OCC2,-14.05714111328125
878,Cc1cc2c(c(C(=O)N[C@H](C)C(=O)NO)c1)OCC2,-14.05714111328125
730,COc1cc2c(cc1O)CCN(C(=O)c1cnn(-c3ccccc3)c1C)C2,-14.04872407913208
638,Cn1cc(-c2cccc(C(=O)N3CCCC(CO)(CO)C3)c2)cn1,-14.026277256011962
942,Cc1cc2c(c(C(=O)N[C@@H](C)C(=O)NO)c1)CCC2,-14.024611473083496
689,COc1cc(-c2cccc(C[C@H](CN)CO)c2)c2ccccc2c1,-14.02257423400879
957,CCOCCC(=O)Nc1ccc2c(c1)C(=O)NC2=O,-14.0216646194458
397,C[C@H](Oc1cc(Br)ccc1C(=O)NO)C(=O)Nc1ccc(Cl)cc1,-14.020935535430908
174,COc1cc2c(cc1O)CCN(C(=O)Cc1ccc(O)nc1)C2,-14.013302612304688
852,COc1ccc2cc(C(=O)N3CCc4cc(C(N)=O)ccc43)cnc2c1,-14.001786613464356
788,COc1cc2c(cc1F)CCN(C(=O)Cc1ccc(O)c3ccccc13)C2,-13.987123680114744
433,Cc1ccc2c(c1)C(=O)O[C@@](C)(C(=O)N[C@H](C)C(=O)NO)C2,-13.984659481048585
44,Cc1cc(C(=O)Oc2ccc3c(C)cccc3c2)c2ccc(F)cc2n1,-13.98199472427368
602,Cc1cc(-c2cccc([C@@H]3C[C@H]3C(=O)N3C[C@H]4C[C@H]4C3)c2)cnc1O,-13.958589363098143
287,Cc1ccc(Cn2nc(C)c(C(=O)N[C@@H](C)C(=O)NO)c2Cl)cc1,-13.9507550239563
784,Cc1cc2c(c(O)n1)CCCN2C(=O)c1cc2cc(O)ccc2cc1O,-13.92526798248291
815,Cc1c(C(=O)Oc2ccc3nccnc3c2)oc2ccc(F)cc12,-13.920208930969238
344,Cc1ccc2c(c1)C=C(C(=O)Oc1ccc3ccccc3c1)CO2,-13.91724100112915
990,Cc1ccc2cc(C(=O)N3CCc4cccc5c4[C@H]3CC5=O)ccc2n1,-13.888973999023438
932,COc1cc(-c2cccc([C@@]3(C)C=CC(=O)CC3)c2)c2ccccc2c1,-13.88846731185913
637,Cc1cc(-c2ccc3cc(O)c(C(N)=O)cc3c2)c2ccccc2n1,-13.876063632965089
556,O=C(Nc1cccc2ccncc12)c1cc(-c2ccc(O)c(CO)c2)ccn1,-13.87344045639038
525,O=C(Nc1cc(CO)cc(CO)c1)c1cc2cc(O)ccc2cc1O,-13.860048866271972
871,COc1ccc2c(c1)C[C@@H](C(=O)N1CCc3ccc(C#N)cc31)CO2,-13.838054943084718
653,Cc1cc2cc(C(=O)N3CCc4nc(O)[nH]c4C3)oc2cc1C,-13.833895874023437
138,Cn1cc(-c2cccc(C(=O)N3Cc4n[nH]cc4[C@H]3CO)c2)cn1,-13.814505863189698
467,Cc1ccc(O)c(C(=O)c2cnc3cc4c(cc3c2)OCO4)c1,-13.787574863433838
833,COc1ccc(Br)cc1OC(=O)c1ccc2c(c1)C(=O)NC2=O,-13.787341213226318
935,CC1(C)Cc2cccc(C(=O)N3Cc4cc(O)nnc4C3)c2C1,-13.783766651153565
441,O=C(Nc1ccc2c(O)cccc2c1)c1ccnc(-c2cccc(F)c2CO)c1,-13.768976879119872
122,COc1cc(-c2ccc3c(c2)COC(=O)N3)c2ccccc2c1,-13.762778282165527
119,CCC(=O)C(=O)Nc1ccc2c(c1)C(=O)NC2=O,-13.749701595306396
82,Cc1cc(C(=O)Oc2ccc3c(C)cccc3c2)c2ccc(Br)cc2n1,-13.74800100326538
869,CC(=O)c1ccccc1-c1ccc2c(c1)C(=O)NC2=O,-13.742085933685305
655,C[C@@H]1CCN(C(=O)c2cc(-c3cccc4c3cnn4C)cc3[nH]ccc23)C1,-13.723245906829836
787,C[C@@H](OC(=O)c1cccc(-c2ccc(O)nn2)c1)c1c(F)cccc1F,-13.714552783966065
79,Cc1ccoc1C(=O)N1CCc2c(cccc2-c2cccc(CO)c2C)C1,-13.712471961975098
439,Cc1cnc2c(C(=O)N[C@H](C)C(=O)NO)cccn12,-13.680129146575927
801,CC1CN(C(=O)c2cc(-c3cccc4c3ccn4C)cc3[nH]ccc23)C1,-13.663752365112304
530,Cc1cc2c(cc1O)CCN(N1Cc3ccc(CO)cc3C1)C2,-13.6635272026062
506,Cc1c[nH]cc1C(=O)Nc1ccc(-c2ccc(F)c(C#N)c2)s1,-13.65677719116211
346,Cc1cc2cc(C(=O)N[C@H](C)C(=O)NO)oc2cc1C,-13.65368938446045
226,Cc1cc2cc(C(=O)N[C@@H](C)C(=O)NO)oc2cc1C,-13.65368938446045
348,CC(=O)c1cc(C(=O)N(C)Cc2ccc3ccccc3c2Br)ccc1O,-13.643747425079344
977,Cc1ncc(-c2ccc3[nH]cc(C(=O)Nc4cc(Cl)cc(Cl)c4O)c3c2)cn1,-13.63758420944214
206,O=C(c1cc2c(nc1O)CCC[C@H]2O)N1CC(c2nncs2)C1,-13.631987190246582
130,Cc1ccc2cc(C(=O)N3CCc4cc(C(N)=O)ccc43)cn2c1,-13.626441287994384
374,C[C@@H]1CCN(Cc2cc3ccccc3cc2O)C[C@H]1O,-13.618016052246094
6,Cn1cc(C(=O)N2CCO[C@@H](c3ccc(F)c(F)c3)C2)nc1O,-13.613132095336914
572,CC(C)(c1cccc(C(=O)NO)c1)C(F)(F)F,-13.610169315338135
866,COc1cc2c(cc1F)C(=O)/C(=C\\c1ccc(O)c(CO)c1)C2,-13.610150718688963
304,Cc1ccc(-c2nc([C@H](C)O)nn2C23CC(C2)C3)nc1O,-13.608528423309329
753,Oc1cc2ccccc2cc1CN1CCC[C@H](c2ccc3c(c2)CCC3)C1,-13.58951473236084
625,Cc1ccc2cccc(NC(=O)c3n[nH]cc3-c3ccc([C@H](C)O)cc3)c2c1,-13.58179750442505
